,V1,V2
0,15.26,14.84
1,14.88,14.57
2,14.29,14.09
3,13.84,13.94
4,16.14,14.99
5,14.38,14.21
6,14.69,14.49
7,14.11,14.1
8,16.63,15.46
9,16.44,15.25
10,15.26,14.85
11,14.03,14.16
12,13.89,14.02
13,13.78,14.06
14,13.74,14.05
15,14.59,14.28
16,13.99,13.83
17,15.69,14.75
18,14.7,14.21
19,12.72,13.57
20,14.16,14.4
21,14.11,14.26
22,15.88,14.9
23,12.08,13.23
24,15.01,14.76
25,16.19,15.16
26,13.02,13.76
27,12.74,13.67
28,14.11,14.18
29,13.45,14.02
30,13.16,13.82
31,15.49,14.94
32,14.09,14.41
33,13.94,14.17
34,15.05,14.68
35,16.12,15.0
36,16.2,15.27
37,17.08,15.38
38,14.8,14.52
39,14.28,14.17
40,13.54,13.85
41,13.5,13.85
42,13.16,13.55
43,15.5,14.86
44,15.11,14.54
45,13.8,14.04
46,15.36,14.76
47,14.99,14.56
48,14.79,14.52
49,14.86,14.67
50,14.43,14.4
51,15.78,14.91
52,14.49,14.61
53,14.33,14.28
54,14.52,14.6
55,15.03,14.77
56,14.46,14.35
57,14.92,14.43
58,15.38,14.77
59,12.11,13.47
60,11.42,12.86
61,11.23,12.63
62,12.36,13.19
63,13.22,13.84
64,12.78,13.57
65,12.88,13.5
66,14.34,14.37
67,14.01,14.29
68,14.37,14.39
69,12.73,13.75
70,17.63,15.98
71,16.84,15.67
72,17.26,15.73
73,19.11,16.26
74,16.82,15.51
75,16.77,15.62
76,17.32,15.91
77,20.71,17.23
78,18.94,16.49
79,17.12,15.55
80,16.53,15.34
81,18.72,16.19
82,20.2,16.89
83,19.57,16.74
84,19.51,16.71
85,18.27,16.09
86,18.88,16.26
87,18.98,16.66
88,21.18,17.21
89,20.88,17.05
90,20.1,16.99
91,18.76,16.2
92,18.81,16.29
93,18.59,16.05
94,18.36,16.52
95,16.87,15.65
96,19.31,16.59
97,18.98,16.57
98,18.17,16.26
99,18.72,16.34
100,16.41,15.25
101,17.99,15.86
102,19.46,16.5
103,19.18,16.63
104,18.95,16.42
105,18.83,16.29
106,18.85,16.17
107,17.63,15.86
108,19.94,16.92
109,18.55,16.22
110,18.45,16.12
111,19.38,16.72
112,19.13,16.31
113,19.14,16.61
114,20.97,17.25
115,19.06,16.45
116,18.96,16.2
117,19.15,16.45
118,18.89,16.23
119,20.03,16.9
120,20.24,16.91
121,18.14,16.12
122,16.17,15.38
123,18.43,15.97
124,15.99,14.89
125,18.75,16.18
126,18.65,16.41
127,17.98,15.85
128,20.16,17.03
129,17.55,15.66
130,18.3,15.89
131,18.94,16.32
132,15.38,14.9
133,16.16,15.33
134,15.56,14.89
135,15.38,14.66
136,17.36,15.76
137,15.57,15.15
138,15.6,15.11
139,16.23,15.18
140,13.07,13.92
141,13.32,13.94
142,13.34,13.95
143,12.22,13.32
144,11.82,13.4
145,11.21,13.13
146,11.43,13.13
147,12.49,13.46
148,12.7,13.71
149,10.79,12.93
150,11.83,13.23
151,12.01,13.52
152,12.26,13.6
153,11.18,13.04
154,11.36,13.05
155,11.19,13.05
156,11.34,12.87
157,12.13,13.73
158,11.75,13.52
159,11.49,13.22
160,12.54,13.67
161,12.02,13.33
162,12.05,13.41
163,12.55,13.57
164,11.14,12.79
165,12.1,13.15
166,12.44,13.59
167,12.15,13.45
168,11.35,13.12
169,11.24,13.0
170,11.02,13.0
171,11.55,13.1
172,11.27,12.97
173,11.4,13.08
174,10.83,12.96
175,10.8,12.57
176,11.26,13.01
177,10.74,12.73
178,11.48,13.05
179,12.21,13.47
180,11.41,12.95
181,12.46,13.41
182,12.19,13.36
183,11.65,13.07
184,12.89,13.77
185,11.56,13.31
186,11.81,13.45
187,10.91,12.8
188,11.23,12.82
189,10.59,12.41
190,10.93,12.8
191,11.27,12.86
192,11.87,13.02
193,10.82,12.83
194,12.11,13.27
195,12.8,13.47
196,12.79,13.53
197,13.37,13.78
198,12.62,13.67
199,12.76,13.38
200,12.38,13.44
201,12.67,13.32
202,11.18,12.72
203,12.7,13.41
204,12.37,13.47
205,12.19,13.2
206,11.23,12.88
207,13.2,13.66
208,11.84,13.21
209,12.3,13.34
