,x1,x2
0,39.02,36.49
1,1.83,1.71
2,68177.69,66138.42
3,44889.06,39191.86
4,5.7,5.4
5,3.37,3.35
6,23.02,23.14
7,1488.34,1531.87
8,25.97,25.58
9,7354.68,7451.58
10,193.98,165.62
11,1928.38,1853.34
12,5.89,5.5
13,2921.98,2746.53
14,422.82,450.63
15,12294.9,11664.69
16,29.91,31.48
17,1.21,1.13
18,4.13,5.04
19,69177.57,66731.88
20,3.15,3.08
21,1095.56,1124.76
22,90.76,93.5
23,5919.35,6076.76
24,32246.97,29047.8
25,9679.75,9000.88
26,39683.94,39813.02
27,34.56,34.5
28,1146.41,1180.78
29,481.46,464.92
30,26288.38,26534.29
31,27.54,29.22
32,4425.8,4480.9
33,23.09,25.78
34,1.49,1.47
35,62168.26,63811.51
36,5.75,5.79
37,102748.8,104219.25
38,496.46,491.53
39,1.15,1.13
40,121.56,124.56
41,6.31,6.61
42,12.89,13.28
43,6392.21,6552.49
44,417.38,415.54
45,21963.83,23023.15
46,71.31,68.18
47,0.93,0.97
48,2.8,2.53
49,2090.54,2064.27
50,10378.94,9788.62
51,2.17,2.22
52,4.97,5.05
53,1851.74,2028.73
54,18276.46,17305.17
55,15485.34,15656.05
56,62.1,59.08
57,266.24,260.32
58,212.0,250.77
59,2369.69,2466.22
60,25875.54,26267.14
61,26.05,26.03
62,1.42,1.53
63,755.08,770.96
64,132.93,139.3
65,11783.9,12212.13
66,356.19,390.52
67,52696.22,53586.17
68,5.64,5.9
69,10.43,11.02
70,109.75,107.92
71,7139.67,7022.56
72,26835.03,27014.51
73,33.18,36.78
74,2712.97,2643.32
75,1635.41,1699.11
76,14010.09,12884.83
77,57.97,60.4
78,66595.18,72260.69
79,511.08,506.02
80,21858.7,20630.94
81,12.03,11.98
82,21.12,19.52
83,3.33,3.25
84,35.08,35.43
85,7.92,8.3
86,13.01,14.07
87,94.77,97.52
88,1.25,1.19
89,8.29,8.67
90,82484.33,80964.97
91,5.93,6.3
92,126.44,132.97
93,2268.32,2256.37
94,11.95,11.72
95,244.11,232.37
96,197.93,203.47
97,345.42,307.52
98,3.66,3.58
99,5.17,4.45
100,1276.78,1251.01
101,8.24,7.71
102,185.61,183.61
103,53.01,54.61
104,18725.5,17744.84
105,7310.2,7746.12
106,138.57,140.28
107,15843.08,17699.89
108,4028.37,4086.83
109,4985.66,5517.91
110,36938.48,35418.33
111,1.0,1.0
112,30.0,30.42
113,11.67,11.24
114,7.45,7.37
115,1702.91,1616.41
116,9.93,10.09
117,7480.0,6800.57
118,3.98,3.95
119,3.57,3.88
120,297.98,292.44
121,786.79,808.12
122,3.1,3.23
123,29.66,31.46
124,18314.76,16208.54
125,19.37,20.03
126,3.19,3.32
127,2695.94,2770.09
128,240.29,235.65
129,103032.84,104348.67
130,300.09,328.71
131,8.93,9.16
132,3.51,3.64
133,614.56,634.47
134,40.42,41.45
135,30.09,30.45
136,77816.07,77695.05
137,7.63,7.86
138,3.04,3.0
139,2.56,2.97
140,15574.42,15671.23
141,2987.04,2791.58
142,23398.93,26252.85
143,2.23,2.16
144,2.18,2.16
145,59.13,62.95
146,5.92,7.18
147,56.24,51.87
148,183.87,187.44
149,2.81,2.7
150,6.33,6.85
151,523.91,537.64
152,91.44,97.17
153,11.51,11.11
154,239.33,246.49
155,7091.14,6910.38
156,9340.14,10173.89
157,2174.71,2101.89
158,24.04,21.65
159,5869.83,5208.9
160,4.25,4.21
161,40209.28,37227.43
162,21.43,21.52
163,3484.4,3252.98
164,27.04,26.2
165,39108.04,38249.85
166,3420.63,3484.86
167,47.41,44.7
168,14339.82,15815.92
169,10.87,10.18
170,48.56,48.72
171,61804.74,62592.4
172,8986.79,8629.56
173,9661.15,9874.29
174,175.72,193.57
175,34.84,38.57
176,3766.3,4507.16
177,14.27,15.9
178,20945.43,21519.76
179,16007.38,16018.44
180,2881.52,2470.16
181,3305.61,3117.78
182,1.27,1.31
183,39.5,33.5
184,92.25,77.39
185,5844.03,5761.94
186,4321.41,4085.87
187,6.28,6.6
188,30607.37,29538.0
189,973.53,1053.69
190,119.93,118.04
191,51.68,60.39
192,55682.3,50197.12
193,34125.3,34424.2
194,2.35,2.34
195,34.76,35.53
196,5374.17,5499.7
197,50001.5,48669.96
198,6.62,6.73
199,1.47,1.54
200,2.86,2.9
201,144.81,145.3
202,3910.23,3928.66
203,1.72,1.76
204,7.92,6.91
205,2037.44,2067.66
206,22.05,21.36
207,145.96,141.73
208,24599.38,26562.82
209,336.33,323.22
210,37323.55,37897.6
211,4158.59,3916.74
212,709.93,738.21
213,13.26,13.45
214,17.55,14.88
215,2.58,2.56
216,1.72,1.66
217,13863.91,13570.39
218,113.25,104.35
219,5.14,5.88
220,5116.19,5032.29
221,970.69,957.49
222,3.17,3.25
223,2.83,2.5
224,1788.02,1790.02
225,582.94,564.15
226,264.1,243.69
227,1511.5,1445.71
228,5.7,6.03
229,12.16,10.95
230,38.73,38.74
231,1.57,1.56
232,48.22,45.71
233,275.73,274.28
234,24288.97,24782.97
235,1.89,1.75
236,2516.89,2165.78
237,77252.61,78656.85
238,63973.48,62913.96
239,59359.44,60531.34
240,15.09,13.83
241,3830.96,3786.37
242,29804.97,28125.88
243,2013.6,1790.27
244,2241.34,2238.91
245,79.64,81.02
246,322.03,328.49
247,180.31,199.02
248,1.37,1.44
249,1.46,1.57
250,14.29,13.95
251,35.02,37.65
252,1.12,1.09
253,65.72,71.48
254,56927.08,57500.49
255,1130.29,1192.26
256,9844.18,9658.99
257,570.45,524.87
258,7.28,7.28
259,45.83,50.44
260,4.9,4.48
261,45.45,48.48
262,16692.81,18114.59
263,55108.1,55097.53
264,12.7,12.63
265,1.19,1.21
266,282.4,306.54
267,509.42,569.08
268,16850.92,17761.34
269,32.55,30.99
270,7.41,6.42
271,998.16,965.95
272,81.99,77.58
273,994.68,1067.63
274,161.54,138.26
275,15.19,14.15
276,1421.88,1563.4
277,3042.32,2951.71
278,125.68,124.32
279,2.95,3.01
280,57913.43,51952.6
281,1.0,0.9
282,5477.74,5489.37
283,25.55,29.7
284,30.76,30.84
285,164.1,160.9
286,1475.48,1577.37
287,383.1,346.45
288,2.75,2.65
289,206.23,201.57
290,5028.71,4854.55
291,59425.92,55429.13
292,19.83,19.62
293,0.98,0.97
294,34.13,31.64
295,112.48,105.36
296,47.65,46.23
297,1469.02,1393.68
298,3.35,3.7
299,4.89,4.72
300,97.74,95.37
301,47.98,50.77
302,251.18,268.64
303,34790.01,36512.35
304,50938.3,50621.95
305,3976.5,3859.95
306,7.91,7.09
307,3.94,3.89
308,2.15,2.07
309,14250.48,14426.91
310,1083.23,1036.56
311,551.04,543.45
312,214.02,235.74
313,93.39,103.12
314,1907.94,1942.9
315,1988.68,2090.57
316,12.54,12.86
317,455.68,439.71
318,5263.8,5260.51
319,144.41,139.0
320,2.18,2.23
321,31106.07,31628.16
322,15857.55,16131.8
323,10.42,11.78
324,7.6,7.17
325,9494.92,10889.91
326,79.87,84.3
327,1.87,2.11
328,60.38,59.25
329,45755.85,54984.96
330,173.51,174.83
331,337.51,344.49
332,21321.98,21396.46
333,1044.68,1277.2
334,356.2,354.55
335,645.0,653.73
336,415.9,414.73
337,2577.35,2404.96
338,6512.44,7253.66
339,22647.58,22715.47
340,1412.77,1459.86
341,154.98,156.26
342,3516.21,3539.89
343,407.64,445.75
344,5.43,5.6
345,13260.3,13234.25
346,381.21,396.26
347,5.61,6.05
348,111.35,115.0
349,8.86,9.13
350,33445.83,34733.17
351,65587.77,65913.77
352,85.6,81.78
353,663.59,630.14
354,2.17,2.19
355,2148.03,2096.65
356,647.02,606.39
357,48.2,45.38
358,1777.79,1806.66
359,310.24,295.52
360,30904.53,31052.81
361,1078.15,987.59
362,1.62,1.65
363,16.66,15.79
364,50317.35,49769.01
365,13371.87,13479.36
366,69139.78,71208.06
367,7.5,7.99
368,6814.13,6871.26
369,4.32,4.57
370,8018.0,7916.83
371,9.23,9.23
372,66256.22,64429.52
373,3.78,3.36
374,56.15,52.47
375,954.08,940.43
376,1933.01,2232.43
377,26076.67,26839.75
378,1.41,1.54
379,33.58,34.09
380,302.76,293.1
381,3.57,3.57
382,8956.29,8466.88
383,8250.95,8537.38
384,2760.27,2764.25
385,102154.35,98549.28
386,1.34,1.46
387,93215.39,93796.75
388,66110.17,65985.74
389,22.5,22.89
390,9737.07,10517.63
391,76.4,80.91
392,512.55,487.74
393,9.59,9.61
394,536.91,552.89
395,74011.24,79463.97
396,11.46,10.56
397,894.05,940.01
398,103.41,103.55
399,72.58,70.77
400,33.3,32.98
401,4355.99,4230.82
402,23035.42,23302.16
403,1825.88,1756.11
404,1752.76,1607.28
405,246.27,243.46
406,3.91,3.95
407,103.23,88.62
408,948.87,949.66
409,9.63,8.97
410,4780.62,4822.53
411,8922.08,9032.6
412,4.57,4.88
413,23035.32,22416.86
414,53700.43,52197.61
415,368.9,379.75
416,1271.96,1303.75
417,27453.79,26686.13
418,127.07,112.66
419,6880.77,6948.06
420,2.05,2.0
421,16.12,14.24
422,94.79,94.31
423,24.42,24.71
424,44573.48,44481.11
425,119.36,116.01
426,1474.48,1453.48
427,47.09,43.5
428,36.81,39.28
429,287.5,276.08
430,186.52,196.63
431,6593.56,6457.93
432,3895.64,3931.68
433,2.08,1.93
434,2528.15,2606.11
435,28894.11,31401.8
436,23.92,25.85
437,4.68,5.0
438,2231.49,2156.36
439,711.59,774.83
440,1068.7,1042.32
441,175.63,164.3
442,37.54,33.49
443,13.17,12.89
444,29268.78,27349.04
445,3.8,3.84
446,1.69,1.72
447,5791.32,5647.33
448,4706.34,5125.17
449,10052.46,10954.01
450,10282.48,9736.77
451,1704.28,1591.77
452,148.16,136.56
