Provinsi,Jumlah Penduduk Laki-Laki,Jumlah Penduduk Perempuan,Luas,Persentase Terhadap Luas Indonesia,Jumlah Pulau,RS Rujukan,latitude,longitude,Konfirmasi,Sembuh,Meninggal
Aceh,2652616.00,2636269.00,57956.00,3.02,331.00,2.00,4.42,97.00,9403.00,7739.00,381.00
Sumatera Utara,7551087.00,7481083.00,72981.23,3.81,232.00,5.00,2.36,99.22,22992.00,19750.00,786.00
Sumatera Barat,2801468.00,2767413.00,42012.89,2.19,211.00,2.00,-0.64,100.61,28182.00,25738.00,634.00
Riau,3187198.00,3033482.00,87023.66,4.54,161.00,3.00,0.40,101.75,30196.00,28492.00,724.00
Jambi,1785699.00,1712134.00,50058.16,2.61,15.00,1.00,-1.65,102.82,5067.00,3703.00,68.00
Sumatera Selatan,4260234.00,4081867.00,91592.43,4.78,23.00,7.00,-3.38,104.07,15200.00,12773.00,719.00
Bengkulu,1032290.00,982079.00,19919.33,1.04,10.00,3.00,-3.49,102.37,4726.00,4465.00,144.00
Lampung,4656338.00,4406428.00,34623.80,1.81,132.00,4.00,-4.92,105.06,11524.00,9241.00,601.00
Kepulauan Bangka Belitung,720736.00,685847.00,16424.06,0.86,556.00,2.00,-2.96,106.82,6224.00,5261.00,97.00
Kepulauan Riau,1010515.00,973082.00,8201.72,0.43,1994.00,4.00,-0.14,104.60,8495.00,7914.00,208.00
DKI Jakarta,5587610.00,5513319.00,664.01,0.03,110.00,8.00,-6.22,106.84,316945.00,295506.00,4941.00
Jawa Barat,23375292.00,22716913.00,35377.76,1.85,30.00,10.00,-6.91,107.64,175941.00,148804.00,2113.00
Jawa Tengah,18570981.00,18325771.00,32800.69,1.71,72.00,13.00,-7.29,109.90,142307.00,90545.00,5604.00
DI Yogyakarta,1814360.00,1853944.00,3133.15,0.16,33.00,4.00,-7.84,110.44,25153.00,18809.00,595.00
Jawa Timur,20465848.00,20497379.00,47803.49,2.49,431.00,9.00,-7.88,112.62,122758.00,104222.00,8194.00
Banten,5615954.00,5426569.00,9662.92,0.5,81.00,2.00,-6.26,106.17,27266.00,19320.00,511.00
Bali,2139483.00,2122426.00,5780.06,0.3,33.00,4.00,-8.34,115.18,30538.00,13298.00,574.00
Nusa Tenggara Barat,2658460.00,2663092.00,18572.32,0.97,407.00,5.00,-8.57,116.29,8099.00,5466.00,345.00
Nusa Tenggara Timur,2736628.00,2716339.00,48718.10,2.54,532.00,3.00,-8.58,120.69,7387.00,4136.00,187.00
Kalimantan Barat,2809944.00,2647408.00,147307.00,7.68,243.00,4.00,-0.06,111.30,4259.00,3889.00,30.00
Kalimantan Tengah,1346779.00,1255340.00,153564.50,8.01,64.00,3.00,-1.84,113.29,12802.00,9474.00,211.00
Kalimantan Selatan,2059947.00,2010373.00,38744.23,2.02,172.00,3.00,-3.01,115.45,19838.00,17368.00,685.00
Kalimantan Timur,1902410.00,1758751.00,129066.64,6.73,419.00,5.00,1.29,116.35,49531.00,40253.00,1176.00
Kalimantan Utara,347668.00,316028.00,75467.70,3.94,34.00,2.00,3.07,116.04,8736.00,5123.00,114.00
Sulawesi Utara,1362101.00,1297886.00,13892.47,0.72,287.00,4.00,0.85,124.45,14610.00,11013.00,488.00
Sulawesi Tengah,1535913.00,1451798.00,61841.29,3.23,1632.00,5.00,-1.30,120.15,9315.00,6740.00,232.00
Sulawesi Selatan,4558654.00,4617317.00,46717.48,2.44,314.00,10.00,-3.74,119.99,52640.00,47433.00,804.00
Sulawesi Tenggara,1343851.00,1305994.00,38067.70,1.99,527.00,1.00,-4.07,122.12,9847.00,8888.00,190.00
Gorontalo,599918.00,589767.00,11257.07,0.59,123.00,1.00,0.76,122.33,4612.00,4209.00,124.00
Sulawesi Barat,795622.00,767667.00,16787.18,0.88,41.00,1.00,-2.70,119.32,4883.00,2911.00,92.00
Maluku,943227.00,921108.00,46914.03,2.45,1286.00,2.00,-8.25,128.16,6747.00,5639.00,101.00
Maluku Utara,674924.00,643254.00,31982.50,1.67,856.00,2.00,-2.29,125.98,3878.00,3111.00,110.00
Papua Barat,599047.00,547619.00,102955.15,5.37,4108.00,2.00,-1.33,132.83,7028.00,6404.00,118.00
Papua,2318966.00,2035502.00,319036.05,16.64,556.00,3.00,-4.11,138.69,16132.00,8803.00,171.00
,,,,,,,,,,,
